,BLDG/RM,COURSE,CREDIT,CRN,DAY/TIME,FROM / TO,INSTR.,SECT,STATUS,SUBJ
1310,MON B33,Scient.Reason&DiscoveryProsem;,4.00,23080,MW09:00AM - 10:50AM,01/14/13 - 04/29/13,"Kung, B",10,OPEN,HONR
1311,SEE DEPT,Scient.Reason&DiscoveryProsem;,4.00,22848,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Wood, B",12,OPEN,HONR
1312,MON B36,Scient.Reason&DiscoveryProsem;,4.00,24430,TR09:35AM - 10:50AM,01/14/13 - 04/29/13,"Miller, J",13,CLOSED,HONR
1313,SEE DEPT,Scient.Reason&DiscoveryProsem;,4.00,26779,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Zysmilich, M",14,OPEN,HONR
1314,SCIE 203,Laboratory,0.00,26780,R02:00PM - 06:00PM,01/14/13 - 04/29/13,"Zysmilich, M",M30,OPEN,HONR
1315,ACAD 100,Scient.Reason&DiscoveryProsem;,4.00,24431,MW08:30AM - 09:45AM,01/14/13 - 04/29/13,"Zimerman, O",MV1,CLOSED,HONR
1316,ACAD 100,Scient.Reason&DiscoveryProsem;,4.00,25819,MW10:00AM - 11:15AM,01/14/13 - 04/29/13,"Zimerman, O",MV2,CLOSED,HONR
1317,PHIL 109,Honors Macroeconomics,3.00,20262,TR11:10AM - 12:25PM,01/14/13 - 04/29/13,"Bradley, M",10,CLOSED,HONR
1318,,Proseminar: Soc. & Behav. Sci.,3.00,25705,,01/14/13 - 04/29/13,,10,CANCELLED,HONR
1319,GELM 402,Proseminar: Soc. & Behav. Sci.,3.00,24180,TR02:30PM - 03:45PM,01/14/13 - 04/29/13,"Shepherd, R",10,CLOSED,HONR
1320,SEE DEPT,Proseminar: Soc. & Behav. Sci.,3.00,26628,MW12:45PM - 02:00PM,01/14/13 - 04/29/13,"Brown, N",11,OPEN,HONR
1321,AMES B204,Proseminar: Soc. & Behav. Sci.,3.00,24399,W01:00PM - 03:30PM,01/14/13 - 04/29/13,"Sides, J",MV,OPEN,HONR
1322,OM 305,Adolescent Development,3.00,21389,W05:10PM - 07:00PM,01/14/13 - 04/29/13,"Brown, M",10,OPEN,HDEV
1323,,Cont. Res. - Doctoral,1.00,22877,,01/14/13 - 04/29/13,"Cseh, M",10,OPEN,"HOL
"
1324,,Cont. Res. - Doctoral,1.00,22878,,01/14/13 - 04/29/13,"Khilji, S",11,OPEN,"HOL
"
1325,,Cont. Res. - Doctoral,1.00,22881,,01/14/13 - 04/29/13,"Chalofsky, N",12,OPEN,"HOL
"
1326,,Cont. Res. - Doctoral,1.00,22879,,01/14/13 - 04/29/13,"Goldman, E",13,OPEN,"HOL
"
1327,,Cont. Res. - Doctoral,1.00,22880,,01/14/13 - 04/29/13,"Marquardt, M",14,OPEN,"HOL
"
1328,,Cont. Res. - Doctoral,1.00,23549,,01/14/13 - 04/29/13,"Casey, A",15,OPEN,"HOL
"
1329,,Cont. Res. - Doctoral,1.00,23550,,01/14/13 - 04/29/13,"Burley, D",16,OPEN,"HOL
"
1330,,Cont. Res. - Doctoral,1.00,23551,,01/14/13 - 04/29/13,"Schwandt, D",17,OPEN,"HOL
"
1331,,Cont. Res. - Doctoral,1.00,24055,,01/14/13 - 04/29/13,"Croswell, C",18,OPEN,"HOL
"
1332,,Research and Independent Study,3.00,22834,,01/14/13 - 04/29/13,"Cseh, M",10,OPEN,"HOL
"
1333,,Research and Independent Study,3.00,22835,,01/14/13 - 04/29/13,"Khilji, S",11,CLOSED,"HOL
"
1334,,Research and Independent Study,3.00,22836,,01/14/13 - 04/29/13,"Chalofsky, N",12,OPEN,"HOL
"
1335,,Research and Independent Study,3.00,22837,,01/14/13 - 04/29/13,"Goldman, E",13,OPEN,"HOL
"
1336,,Research and Independent Study,3.00,22838,,01/14/13 - 04/29/13,"Marquardt, M",14,OPEN,"HOL
"
1337,,Research and Independent Study,3.00,22839,,01/14/13 - 04/29/13,"Casey, A",15,OPEN,"HOL
"
1338,,Research and Independent Study,3.00,22840,,01/14/13 - 04/29/13,"Burley, D",16,OPEN,"HOL
"
1339,,Research and Independent Study,3.00,24718,,01/14/13 - 04/29/13,"Schwandt, D",17,OPEN,"HOL
"
1340,GELM 609,Organizational Change II,3.00,22832,M06:10PM - 08:00PM,01/14/13 - 04/29/13,"Appleby, C",10,OPEN,"HOL
"
1341,GOV 104,Leadership in Organizations,3.00,22829,T06:10PM - 08:00PM,01/14/13 - 04/29/13,"Pobat, M",10,OPEN,"HOL
"
1342,MON 251,StrategicPerformanceProcesses,3.00,22831,W08:10PM - 10:00PM,01/14/13 - 04/29/13,"Pobat, M",10,OPEN,"HOL
"
1343,,Supervised Experience-HMSR,3.00,20963,,01/14/13 - 04/29/13,,10,OPEN,HMSR
1344,ROME 351,Intro to Human Development 2,3.00,20962,R05:10PM - 07:00PM,01/14/13 - 04/29/13,"Ahmann, C; Roberts, J",10,OPEN,HMSR
1345,MON 451,Intro to Human Development 2,3.00,27431,M06:10PM - 08:00PM,01/14/13 - 04/29/13,"Roberts, J",11,OPEN,HMSR
1346,1957 E 214,Organization/Adminstratn-HMSR,3.00,23520,T05:10PM - 07:00PM,01/14/13 - 04/29/13,"Shrader, E",10,OPEN,HMSR
1347,MPA 302,Issues in Human Services,6.00,25133,T11:10AM - 01:00PM,01/14/13 - 04/29/13,"Cassella, K",10,CLOSED,HMSR
1348,,Research and Indep. Study,3.00,26609,,01/14/13 - 04/29/13,"Morrison, E",10,OPEN,HMSR
1349,GOV 104,Seminar in HmSr:Current Issues,3.00,20261,W05:10PM - 07:00PM,01/14/13 - 04/29/13,"Konwerski, P",10,OPEN,HMSR
1350,PHIL 217,Princples ofEthical Leadership,3.00,23556,W11:10AM - 01:00PM,01/14/13 - 04/29/13,"Whitaker, R",10,OPEN,HMSR
1351,1957 E 212,Non-Profit Management,3.00,25134,M11:10AM - 01:00PM,01/14/13 - 04/29/13,"Kelso, M",11,OPEN,HMSR
1352,,Adv. Topics in Immunology,3.00,21380,,01/14/13 - 04/29/13,"Radoja, S; Khan, I",10,OPEN,IMMU
1353,,Advanced Reading and Research,0.00 TO  12.00,21453,,01/14/13 - 04/29/13,"Leitenberg, D",10,OPEN,IMMU
1354,,Dissertation Research,3.00,21454,,01/14/13 - 04/29/13,"Leitenberg, D",10,OPEN,IMMU
1355,DUQUES 351,Introduction to Programming,3.00,23239,M04:00PM - 06:30PM,01/14/13 - 04/29/13,"Connolly, S",10,OPEN,ISTM
1356,DUQUES 351,Structrd Devlpmnt w/Programmng,3.00,22823,T04:00PM - 06:30PM,01/14/13 - 04/29/13,"Molnar, I",10,OPEN,ISTM
1357,DUQUES 351,Expert Database Systems,3.00,22491,W04:00PM - 06:30PM,01/14/13 - 04/29/13,"Granger, M",10,OPEN,ISTM
1358,FNGR 520,Business Data Communications,3.00,23680,R04:30PM - 07:00PM,01/14/13 - 04/29/13,"Cherian, E",10,OPEN,ISTM
1359,,WritingOnTheEthicsofTechnology,3.00,24127,,01/14/13 - 04/29/13,,10,CANCELLED,ISTM
1360,DUQUES 255,Info Syst Devel/Applications,3.00,24437,T04:30PM - 07:00PM,01/14/13 - 04/29/13,"Dasgupta, S",10,OPEN,ISTM
1361,FNGR 210,Relational Databases,3.00,23684,W07:10PM - 09:40PM,01/14/13 - 04/29/13,"Artz, J",10,OPEN,ISTM
1362,DUQUES 255,Telecomm/Enterprise Networks,3.00,23687,M04:30PM - 07:00PM,01/14/13 - 04/29/13,"Iyer, R",10,OPEN,ISTM
1363,DUQUES 255,Information Tech Proj Mgt,3.00,24434,T07:10PM - 09:40PM,01/14/13 - 04/29/13,"Carayannis, E",10,OPEN,ISTM
1364,DUQUES 351,Internet Computing,3.00,24436,R04:30PM - 07:00PM,01/14/13 - 04/29/13,"Lumley, R",10,CLOSED,ISTM
